Date,Daily.Count
20-Jun,
21-Jun,
22-Jun,
23-Jun,
24-Jun,
25-Jun,
26-Jun,
27-Jun,
28-Jun,
29-Jun,
30-Jun,
1-Jul,0
2-Jul,7
3-Jul,6
4-Jul,22
5-Jul,0
6-Jul,0
7-Jul,0
8-Jul,19
9-Jul,65
10-Jul,101
11-Jul,315
12-Jul,404
13-Jul,345
14-Jul,3018
15-Jul,3413
16-Jul,3922
17-Jul,370
18-Jul,1175
19-Jul,1510
20-Jul,257
21-Jul,1345
22-Jul,139
23-Jul,32
24-Jul,18
25-Jul,311
26-Jul,963
27-Jul,2226
28-Jul,1490
29-Jul,2577
30-Jul,5719
31-Jul,2133
1-Aug,2325
2-Aug,378
3-Aug,704
4-Aug,541
5-Aug,1266
6-Aug,677
7-Aug,44
8-Aug,18
9-Aug,9
10-Aug,0
11-Aug,5
12-Aug,15
13-Aug,10
14-Aug,65
15-Aug,18
16-Aug,0
17-Aug,2
18-Aug,1
19-Aug,3
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
25-Aug,
26-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
31-Aug,
1-Sep,
2-Sep,
3-Sep,
4-Sep,
5-Sep,
6-Sep,
7-Sep,
