River,Year,Date,Daily.Count
Fish.Creek,2022,5-Jul,3
Fish.Creek,2022,6-Jul,0
Fish.Creek,2022,7-Jul,98
Fish.Creek,2022,8-Jul,2
Fish.Creek,2022,9-Jul,125
Fish.Creek,2022,10-Jul,12
Fish.Creek,2022,11-Jul,337
Fish.Creek,2022,12-Jul,102
Fish.Creek,2022,13-Jul,1948
Fish.Creek,2022,14-Jul,2963
Fish.Creek,2022,15-Jul,1024
Fish.Creek,2022,16-Jul,2423
Fish.Creek,2022,17-Jul,3109
Fish.Creek,2022,18-Jul,5474
Fish.Creek,2022,19-Jul,4220
Fish.Creek,2022,20-Jul,3291
Fish.Creek,2022,21-Jul,1707
Fish.Creek,2022,22-Jul,2043
Fish.Creek,2022,23-Jul,2520
Fish.Creek,2022,24-Jul,932
Fish.Creek,2022,25-Jul,629
Fish.Creek,2022,26-Jul,12032
Fish.Creek,2022,27-Jul,6674
Fish.Creek,2022,28-Jul,3683
Fish.Creek,2022,29-Jul,3000
Fish.Creek,2021,6-Jul,0
Fish.Creek,2021,7-Jul,0
Fish.Creek,2021,8-Jul,0
Fish.Creek,2021,9-Jul,0
Fish.Creek,2021,10-Jul,0
Fish.Creek,2021,11-Jul,0
Fish.Creek,2021,12-Jul,50
Fish.Creek,2021,13-Jul,467
Fish.Creek,2021,14-Jul,1818
Fish.Creek,2021,15-Jul,2223
Fish.Creek,2021,16-Jul,3471
Fish.Creek,2021,17-Jul,912
Fish.Creek,2021,18-Jul,1086
Fish.Creek,2021,19-Jul,1366
Fish.Creek,2021,20-Jul,3022
Fish.Creek,2021,21-Jul,3705
Fish.Creek,2021,22-Jul,2226
Fish.Creek,2021,23-Jul,746
Fish.Creek,2021,24-Jul,384
Fish.Creek,2021,25-Jul,30
Fish.Creek,2021,26-Jul,0
Fish.Creek,2021,27-Jul,287
Fish.Creek,2021,28-Jul,478
Fish.Creek,2021,29-Jul,
Fish.Creek,2020,2-Jul,0
Fish.Creek,2020,3-Jul,4
Fish.Creek,2020,4-Jul,170
Fish.Creek,2020,5-Jul,0
