Date,Mean.Daily.Prop,Cumulative
20-Jun,0,0
21-Jun,0,0
22-Jun,0,0
23-Jun,0,0
24-Jun,0,0
25-Jun,0,0
26-Jun,0,0
27-Jun,0,0
28-Jun,0,0
29-Jun,0,0
30-Jun,0,0
1-Jul,0,0
2-Jul,0,0
3-Jul,0,0
4-Jul,0,0
5-Jul,0,0
6-Jul,0,0
7-Jul,0.00785,0.00785
8-Jul,0.00465,0.0125
9-Jul,0.004,0.0165
10-Jul,0.00452,0.02102
11-Jul,0.00463,0.02565
12-Jul,0.00615,0.0318
13-Jul,0.00799,0.03979
14-Jul,0.01472,0.05451
15-Jul,0.02314,0.07765
16-Jul,0.0357,0.11335
17-Jul,0.04397,0.15732
18-Jul,0.04302,0.20034
19-Jul,0.05707,0.25741
20-Jul,0.07056,0.32797
21-Jul,0.06015,0.38812
22-Jul,0.04798,0.4361
23-Jul,0.05037,0.48647
24-Jul,0.05686,0.54333
25-Jul,0.05618,0.59951
26-Jul,0.05687,0.65638
27-Jul,0.05019,0.70657
28-Jul,0.04278,0.74935
29-Jul,0.03997,0.78932
30-Jul,0.02909,0.81841
31-Jul,0.02454,0.84295
1-Aug,0.02147,0.86442
2-Aug,0.02195,0.88637
3-Aug,0.02097,0.90734
4-Aug,0.01799,0.92533
5-Aug,0.01432,0.93965
6-Aug,0.01116,0.95081
7-Aug,0.01241,0.96322
8-Aug,0.00777,0.97099
9-Aug,0.00847,0.97946
10-Aug,0.00699,0.98645
11-Aug,0.00563,0.99208
12-Aug,0.00422,0.9963
13-Aug,0.00197,0.99827
14-Aug,0.0011,0.99937
15-Aug,0.00062,0.99999
