Date,Daily.Count
15-Jun,6276
16-Jun,11058
17-Jun,11034
18-Jun,9162
19-Jun,15360
20-Jun,11652
21-Jun,7896
22-Jun,6426
23-Jun,8214
24-Jun,12270
25-Jun,13842
26-Jun,18060
27-Jun,14898
28-Jun,12798
29-Jun,11754
30-Jun,9738
1-Jul,10374
2-Jul,10806
3-Jul,13572
4-Jul,14676
5-Jul,17790
6-Jul,19333
7-Jul,36714
8-Jul,48120
9-Jul,33342
10-Jul,20373
11-Jul,13716
12-Jul,15024
13-Jul,8712
14-Jul,7476
15-Jul,7428
16-Jul,29742
17-Jul,99204
18-Jul,59058
19-Jul,41136
20-Jul,16800
21-Jul,9288
22-Jul,7645
23-Jul,23770
24-Jul,49448
25-Jul,52452
26-Jul,35010
27-Jul,23676
28-Jul,31248
29-Jul,15354
30-Jul,14125
31-Jul,17580
1-Aug,8069
2-Aug,9211
3-Aug,10456
4-Aug,7089
5-Aug,6231
6-Aug,5004
7-Aug,5562
8-Aug,6474
9-Aug,6480
10-Aug,
11-Aug,
12-Aug,
13-Aug,
14-Aug,
15-Aug,
16-Aug,
17-Aug,
18-Aug,
19-Aug,
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
25-Aug,
26-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
