Date,Daily.Count
20-Jun,
21-Jun,
22-Jun,
23-Jun,
24-Jun,
25-Jun,
26-Jun,
27-Jun,
28-Jun,
29-Jun,
30-Jun,
1-Jul,6366
2-Jul,5484
3-Jul,9630
4-Jul,13590
5-Jul,18120
6-Jul,32928
7-Jul,35551.07865
8-Jul,56130
9-Jul,48342
10-Jul,34256.25
11-Jul,25674.57057
12-Jul,21378
13-Jul,26940
14-Jul,18882
15-Jul,21360
16-Jul,30724.81046
17-Jul,194412
18-Jul,159378
19-Jul,114792
20-Jul,70194
21-Jul,32298.66667
22-Jul,24936
23-Jul,28009.2
24-Jul,92948.54167
25-Jul,152094
26-Jul,103530
27-Jul,74430
28-Jul,67698
29-Jul,70914.3
30-Jul,53433.57895
31-Jul,46565.99158
1-Aug,48883.58101
2-Aug,37498.41489
3-Aug,33726
4-Aug,24138.78261
5-Aug,22051.94118
6-Aug,17846.57143
7-Aug,27839.23404
8-Aug,6858.314983
9-Aug,11937.33333
10-Aug,
11-Aug,
12-Aug,
13-Aug,
14-Aug,
15-Aug,
16-Aug,
17-Aug,
18-Aug,
19-Aug,
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
25-Aug,
26-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
