Year,Fishery,Stock,Comp,,,
2005,Central District Drift,Kenai,0.866,,,
2005,Central District Drift,Kasilof,0.072,,,
2005,ESSN,Kenai,0.624,,,
2005,ESSN,Kasilof,0.368,,,
2006,Central District Drift,Kenai,0.517,,,
2006,Central District Drift,Kasilof,0.296,,,
2006,ESSN,Kenai,0.351,,,
2006,ESSN,Kasilof,0.634,,,
2006,Northern District,Kenai,0.389,,,
2006,Northern District,Kasilof,0.172,,,
2006,Westside,Kenai,0.181,,,
2006,Westside,Kasilof,0.082,,,
2007,Central District Drift,Kenai,0.647,,,
2007,Central District Drift,Kasilof,0.161,,,
2007,ESSN,Kenai,0.603,,,
2007,ESSN,Kasilof,0.303,,,
2007,Northern District,Kenai,0.578,,,
2007,Northern District,Kasilof,0.052,,,
2007,Westside,Kenai,0.181,,,
2007,Westside,Kasilof,0.082,,,
2008,Central District Drift,Kenai,0.472,,,
2008,Central District Drift,Kasilof,0.345,,,
2008,ESSN,Kenai,0.333,,,
2008,ESSN,Kasilof,0.607,,,
2008,Northern District,Kenai,0.117,,,
2008,Northern District,Kasilof,0.061,,,
2008,Westside,Kenai,0.096,,,
2008,Westside,Kasilof,0.114,,,
2009,Central District Drift,Kenai,0.595,,,
2009,Central District Drift,Kasilof,0.158,,,
2009,ESSN,Kenai,0.385,,,
2009,ESSN,Kasilof,0.558,,,
2009,Northern District,Kenai,0.104,,,
2009,Northern District,Kasilof,0.041,,,
2009,Westside,Kenai,0.162,,,
2009,Westside,Kasilof,0.09,,,
2010,Central District Drift,Kenai,0.71,,,
2010,Central District Drift,Kasilof,0.077,,,
2010,ESSN,Kenai,0.638,,,
2010,ESSN,Kasilof,0.274,,,
2010,Northern District,Kenai,0.091,,,
2010,Northern District,Kasilof,0.003,,,
2010,Westside,Kenai,0.183,,,
2010,Westside,Kasilof,0.047,,,
2011,Central District Drift,Kenai,0.776,,,
2011,Central District Drift,Kasilof,0.51,,,
2011,ESSN,Kenai,0.797,,,
2011,ESSN,Kasilof,0.165,,,
2011,Northern District,Kenai,0.075,,,
2011,Northern District,Kasilof,0.003,,,
2011,Westside,Kenai,0.258,,,
2011,Westside,Kasilof,0.032,,,
2012,Central District Drift,Kenai,0.84,,,
2012,Central District Drift,Kasilof,0.045,,,
2012,ESSN,Kenai,0.597,,,
