Stat Area Name,Catch Date,Gear Code,Count
24421 - Ninilchik,2024-06-20 00:00:00,13,8
24421 - Ninilchik,2024-06-24 00:00:00,13,11
24421 - Ninilchik,2024-06-27 00:00:00,13,10
24421 - Ninilchik,2024-06-29 00:00:00,13,12
24421 - Ninilchik,2024-07-02 00:00:00,13,14
24421 - Ninilchik,2024-07-09 00:00:00,13,62
24421 - Ninilchik,2024-07-11 00:00:00,13,306
24421 - Ninilchik,2024-07-16 00:00:00,13,130
24422 - Coho,2024-06-20 00:00:00,13,14
24422 - Coho,2024-06-24 00:00:00,13,19
24422 - Coho,2024-06-27 00:00:00,13,19
24422 - Coho,2024-06-29 00:00:00,13,40
24422 - Coho,2024-07-02 00:00:00,13,22
24422 - Coho,2024-07-09 00:00:00,13,86
24422 - Coho,2024-07-11 00:00:00,13,161
24422 - Coho,2024-07-16 00:00:00,13,104
24422 - Coho,2024-07-18 00:00:00,13,58
24422 - Coho,2024-07-20 00:00:00,13,39
24422 - Coho,2024-07-23 00:00:00,13,20
24422 - Coho,2024-07-25 00:00:00,13,3
24422 - Coho,2024-07-28 00:00:00,13,11
24422 - Coho,2024-07-30 00:00:00,13,12
24422 - Coho,2024-07-31 00:00:00,13,28
24431 - Kailfornsky South,2024-06-20 00:00:00,13,6
24431 - Kailfornsky South,2024-06-29 00:00:00,13,53
24431 - Kailfornsky South,2024-07-02 00:00:00,13,45
24431 - Kailfornsky South,2024-07-11 00:00:00,13,5
24431 - Kailfornsky South,2024-07-13 00:00:00,13,5
24431 - Kailfornsky South,2024-07-16 00:00:00,13,41
24431 - Kailfornsky South,2024-07-18 00:00:00,13,34
24431 - Kailfornsky South,2024-07-23 00:00:00,13,63
24431 - Kailfornsky South,2024-07-25 00:00:00,13,88
24431 - Kailfornsky South,2024-07-27 00:00:00,13,25
24431 - Kailfornsky South,2024-07-28 00:00:00,13,40
24431 - Kailfornsky South,2024-07-30 00:00:00,13,32
24431 - Kailfornsky South,2024-07-31 00:00:00,13,30
24432 - Kalifornsky North,2024-06-20 00:00:00,13,10
24432 - Kalifornsky North,2024-06-29 00:00:00,13,53
24432 - Kalifornsky North,2024-07-02 00:00:00,13,68
24432 - Kalifornsky North,2024-07-09 00:00:00,13,115
24432 - Kalifornsky North,2024-07-11 00:00:00,13,186
