Fishery.Project,Date,Year,Harvest
Fish Creek Personal Use,15-Jul,2023,0
Fish Creek Personal Use,16-Jul,2023,0
Fish Creek Personal Use,17-Jul,2023,0
Fish Creek Personal Use,18-Jul,2023,0
Fish Creek Personal Use,19-Jul,2023,0
Fish Creek Personal Use,20-Jul,2023,0
Fish Creek Personal Use,21-Jul,2023,0
Fish Creek Personal Use,22-Jul,2023,1528
Fish Creek Personal Use,23-Jul,2023,1512
Fish Creek Personal Use,24-Jul,2023,1526
Fish Creek Personal Use,25-Jul,2023,1379
Fish Creek Personal Use,26-Jul,2023,934
Fish Creek Personal Use,27-Jul,2023,1700
Fish Creek Personal Use,28-Jul,2023,1396
Fish Creek Personal Use,29-Jul,2023,2014
Fish Creek Personal Use,30-Jul,2023,3027
Fish Creek Personal Use,31-Jul,2023,4050
Fish Creek Personal Use,15-Jul,2022,0
Fish Creek Personal Use,16-Jul,2022,0
Fish Creek Personal Use,17-Jul,2022,0
Fish Creek Personal Use,18-Jul,2022,0
Fish Creek Personal Use,19-Jul,2022,0
Fish Creek Personal Use,20-Jul,2022,0
Fish Creek Personal Use,21-Jul,2022,1527
Fish Creek Personal Use,22-Jul,2022,1779
Fish Creek Personal Use,23-Jul,2022,2533
Fish Creek Personal Use,24-Jul,2022,2200
Fish Creek Personal Use,25-Jul,2022,5010
Fish Creek Personal Use,26-Jul,2022,5255
Fish Creek Personal Use,27-Jul,2022,4571
Fish Creek Personal Use,28-Jul,2022,3424
Fish Creek Personal Use,29-Jul,2022,2749
Fish Creek Personal Use,30-Jul,2022,1878
Fish Creek Personal Use,31-Jul,2022,1554
Fish Creek Personal Use,15-Jul,2020,0
Fish Creek Personal Use,16-Jul,2020,0
Fish Creek Personal Use,17-Jul,2020,0
Fish Creek Personal Use,18-Jul,2020,0
Fish Creek Personal Use,19-Jul,2020,1849
Fish Creek Personal Use,20-Jul,2020,2015
Fish Creek Personal Use,21-Jul,2020,2328
Fish Creek Personal Use,22-Jul,2020,1658
Fish Creek Personal Use,23-Jul,2020,2078
