River,Fishery,Year,Date,Harvest
Kenai,Dip Net,2023,7/10,643
Kenai,Dip Net,2023,7/11,628
Kenai,Dip Net,2023,7/12,833
Kenai,Dip Net,2023,7/13,1072
Kenai,Dip Net,2023,7/14,1993
Kenai,Dip Net,2023,7/15,8377
Kenai,Dip Net,2023,7/16,8187
Kenai,Dip Net,2023,7/17,14092
Kenai,Dip Net,2023,7/18,16777
Kenai,Dip Net,2023,7/19,15455
Kenai,Dip Net,2023,7/20,22099
Kenai,Dip Net,2023,7/21,17193
Kenai,Dip Net,2023,7/22,25348
Kenai,Dip Net,2023,7/23,16415
Kenai,Dip Net,2023,7/24,27608
Kenai,Dip Net,2023,7/25,26516
Kenai,Dip Net,2023,7/26,23257
Kenai,Dip Net,2023,7/27,19360
Kenai,Dip Net,2023,7/28,15401
Kenai,Dip Net,2023,7/29,19952
Kenai,Dip Net,2023,7/30,11529
Kenai,Dip Net,2023,7/31,11508
Kenai,Dip Net,2022,7/10,3276
Kenai,Dip Net,2022,7/11,1949
Kenai,Dip Net,2022,7/12,2195
Kenai,Dip Net,2022,7/13,1201
Kenai,Dip Net,2022,7/14,1541
Kenai,Dip Net,2022,7/15,2947
Kenai,Dip Net,2022,7/16,9749
Kenai,Dip Net,2022,7/17,6369
Kenai,Dip Net,2022,7/18,10013
Kenai,Dip Net,2022,7/19,22373
Kenai,Dip Net,2022,7/20,23929
Kenai,Dip Net,2022,7/21,18309
Kenai,Dip Net,2022,7/22,24410
Kenai,Dip Net,2022,7/23,31176
Kenai,Dip Net,2022,7/24,12485
Kenai,Dip Net,2022,7/25,11779
Kenai,Dip Net,2022,7/26,15438
Kenai,Dip Net,2022,7/27,14283
Kenai,Dip Net,2022,7/28,12132
Kenai,Dip Net,2022,7/29,11731
Kenai,Dip Net,2022,7/30,9832
Kenai,Dip Net,2022,7/31,7964
Kenai,Dip Net,2021,7/10,1951
Kenai,Dip Net,2021,7/11,2154
Kenai,Dip Net,2021,7/12,2209
Kenai,Dip Net,2021,7/13,1871
Kenai,Dip Net,2021,7/14,3315
Kenai,Dip Net,2021,7/15,3703
Kenai,Dip Net,2021,7/16,6624
Kenai,Dip Net,2021,7/17,10874
Kenai,Dip Net,2021,7/18,9734
Kenai,Dip Net,2021,7/19,18070
Kenai,Dip Net,2021,7/20,22127
Kenai,Dip Net,2021,7/21,16415
Kenai,Dip Net,2021,7/22,23261
Kenai,Dip Net,2021,7/23,28016
Kenai,Dip Net,2021,7/24,28135
Kenai,Dip Net,2021,7/25,20567
Kenai,Dip Net,2021,7/26,18151
