Fishery.Project,Age,Weighted
Susitna Escapement,1.2,0.355727601
Susitna Escapement,1.3,0.513441529
Susitna Escapement,2.2,0.042498743
Susitna Escapement,2.3,0.088332127
Fish Creek Escapement,1.2,0.726019947
Fish Creek Escapement,1.3,0.145256589
Fish Creek Escapement,2.2,0.074581472
Fish Creek Escapement,2.3,0.01951827
Fish Creek Escapement,1.1,0.030442502
Fish Creek Escapement,2.1,0.004181221
Kenai,1.2,0.154
Kenai,1.3,0.636
Kenai,2.2,0.07
Kenai,2.3,0.14
Fish Creek Personal Use,1.2,0.726019947
Fish Creek Personal Use,1.3,0.145256589
Fish Creek Personal Use,2.2,0.074581472
Fish Creek Personal Use,2.3,0.01951827
Fish Creek Personal Use,1.1,0.030442502
Fish Creek Personal Use,2.1,0.004181221
